S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,
mak (0,003),perfect (0,002),vanill (0,003),vary (0,003),mix (0,002),tasty (0,002),want (0,002),grad (0,003),someth (0,003),serv (0,003),seem (0,002),say (0,003),notwor (0,003),plast (0,003),top (0,003),effect (0,002),cheap (0,003),allergy (0,002),jerky (0,002),first (0,003),
watch (0,003),buy (0,002),coco (0,003),pack (0,003),tri (0,002),veget (0,002),tak (0,002),buy (0,003),best (0,003),way (0,003),mix (0,002),tasty (0,003),gav (0,003),stil (0,003),first (0,003),say (0,002),going (0,003),less (0,002),sint (0,002),pod (0,003),
weight (0,003),leav (0,002),fib (0,003),mountain (0,003),mad (0,002),recip (0,002),thing (0,002),far (0,003),regul (0,003),cas (0,003),expect (0,002),top (0,003),rat (0,003),busy (0,003),bought (0,003),nev (0,002),custom (0,003),bit (0,002),item (0,002),fil (0,003),
bak (0,003),many (0,002),fil (0,003),ord (0,003),first (0,002),buy (0,002),found (0,002),brand (0,003),could (0,003),flav (0,003),bland (0,002),siz (0,002),tea (0,003),go (0,003),fin (0,003),blood (0,002),anoth (0,003),pet (0,002),healthy (0,002),sug (0,003),
want (0,003),pleas (0,002),way (0,003),purchas (0,003),favorit (0,002),enjoy (0,002),two (0,002),littl (0,003),buy (0,003),less (0,003),sal (0,002),want (0,002),receiv (0,003),took (0,003),tast (0,003),baby (0,002),lov (0,003),back (0,002),notbuy (0,002),com (0,003),
addict (0,003),say (0,002),oat (0,002),green (0,002),bag (0,002),sweet (0,002),happy (0,002),high (0,003),corn (0,003),money (0,003),piec (0,002),famy (0,002),prob (0,003),kibbl (0,003),big (0,003),week (0,002),less (0,003),mak (0,002),soy (0,002),could (0,003),
definit (0,003),box (0,002),coff (0,002),light (0,002),want (0,002),year (0,002),way (0,002),biscuit (0,003),though (0,003),mak (0,003),howev (0,002),hard (0,002),com (0,003),way (0,003),lov (0,003),think (0,002),pleas (0,002),every (0,002),new (0,002),per (0,002),
sod (0,003),long (0,002),find (0,002),want (0,002),larg (0,002),serv (0,002),plant (0,002),work (0,003),contain (0,003),per (0,003),nev (0,002),look (0,002),stuff (0,003),lab (0,003),serv (0,003),found (0,002),want (0,002),bag (0,002),purchas (0,002),disappoint (0,002),
stil (0,003),smel (0,002),food (0,002),wel (0,002),newm (0,002),brand (0,002),think (0,002),com (0,002),oz (0,002),year (0,003),meat (0,002),nee (0,002),describ (0,003),back (0,003),air (0,002),carb (0,002),also (0,002),petit (0,002),back (0,002),stil (0,002),
thing (0,003),ord (0,002),cinnamon (0,002),look (0,002),act (0,002),lot (0,002),go (0,002),bought (0,002),per (0,002),see (0,003),got (0,002),sint (0,002),much (0,003),bal (0,003),away (0,002),look (0,002),long (0,002),month (0,002),giv (0,002),lid (0,002),
